timestamp,open,high,low,close,volume
2022-10-03,32.06,34.5,31.73,32.92,11049426.26
2022-10-10,32.92,33.46,27.87,30.17,13257504.7
2022-10-17,30.16,31.48,26.84,29.28,14446840.32
2022-10-24,29.28,33.84,28.05,32.94,22730168.9
2022-10-31,32.93,38.79,30.24,32.62,27119839.35
2022-11-07,32.61,33.13,12.37,13.18,135754076.095
2022-11-14,13.18,15.1,12.07,12.27,41445238.19
2022-11-21,12.26,14.98,10.94,14.12,30809377.059
2022-11-28,14.11,14.32,12.78,13.71,20094104.49
2022-12-05,13.71,14.38,13.27,13.42,16866570.91
2022-12-12,13.42,14.96,11.92,12.38,22751251.12
2022-12-19,12.38,12.59,11.07,11.38,12290168.81
2022-12-26,11.39,11.49,8.0,9.99,42617644.911
2023-01-02,9.99,14.89,9.81,14.45,54667041.05
2023-01-09,14.46,25.0,14.28,22.89,92426809.98
2023-01-16,22.9,26.6,20.34,24.21,62487437.69
2023-01-23,24.21,26.8,22.24,26.07,41897668.31
2023-01-30,26.07,26.31,22.48,23.47,37762054.41
2023-02-06,23.46,24.24,19.68,21.49,30869792.33
2023-02-13,21.49,25.64,19.73,24.84,42248862.47
2023-02-20,24.83,27.12,21.41,23.25,40783972.25
2023-02-27,23.25,23.41,20.2,20.97,17761874.22
2023-03-06,20.98,21.19,16.0,20.2,41649760.05
2023-03-13,20.19,22.94,18.7,21.86,50070726.53
2023-03-20,21.86,23.91,20.09,20.94,39438731.71
2023-03-27,20.94,21.67,19.33,20.52,21475148.25
2023-04-03,20.52,21.34,19.85,20.28,14657767.01
2023-04-10,20.29,25.49,20.08,25.34,39115609.89
2023-04-17,25.34,26.0,20.91,21.47,30025652.76
2023-04-24,21.47,23.99,20.36,22.74,28524164.19
2023-05-01,22.73,23.23,21.23,21.66,22477592.84
2023-05-08,21.65,21.81,19.69,20.93,22874032.42
2023-05-15,20.93,21.52,19.33,19.61,14867101.05
2023-05-22,19.61,21.19,18.66,20.81,14469254.23
2023-05-29,20.81,22.3,20.26,21.82,15197018.87
2023-06-05,21.83,22.06,12.8,15.55,45141766.94
2023-06-12,15.55,16.12,14.06,15.45,25603072.57
2023-06-19,15.45,17.75,15.34,16.96,23073471.07
2023-06-26,16.96,20.03,15.6,19.45,37838087.37
2023-07-03,19.46,22.5,18.32,21.32,38309884.02
2023-07-10,21.32,32.13,20.47,27.42,69799642.69
2023-07-17,27.41,28.49,24.0,24.76,32954269.72
2023-07-24,24.76,25.68,22.73,24.25,24085942.18
2023-07-31,24.25,24.79,22.23,23.2,20724804.99
2023-08-07,23.2,25.24,22.27,24.23,20612949.41
2023-08-14,24.22,25.42,20.0,21.77,24057238.46
2023-08-21,21.78,22.02,19.35,20.79,16875021.61
2023-08-28,20.79,22.05,19.02,19.57,17668235.97
2023-09-04,19.57,20.6,17.78,18.24,20458196.92
2023-09-11,18.23,19.5,17.33,18.81,22612426.33
2023-09-18,18.81,20.54,18.58,19.36,16236813.89
2023-09-25,19.36,24.5,18.73,23.87,21638134.84
2023-10-02,23.88,24.8,22.53,23.22,28691461.85
2023-10-09,23.21,23.37,20.93,21.93,17339711.09
2023-10-16,21.93,30.31,21.89,29.05,42711702.84
2023-10-23,29.06,33.9,28.74,32.83,53205282.46
2023-10-30,32.83,46.9,32.28,41.15,72985729.29
2023-11-06,41.16,63.95,39.66,56.28,69566030.44
2023-11-13,56.27,68.2,51.12,61.1,76301978.17
2023-11-20,61.1,61.33,51.23,57.57,41784369.65
2023-11-27,57.57,65.53,53.47,62.98,37429478.87
2023-12-04,62.99,77.78,59.11,74.87,61509976.108
2023-12-11,74.88,79.5,63.67,70.87,55955955.27
2023-12-18,70.85,118.1,67.0,112.45,68710808.32
2023-12-25,112.45,126.36,97.14,101.72,60014302.18
2024-01-01,101.72,116.95,85.0,89.44,49093599.14
2024-01-08,89.44,107.32,85.16,93.81,52157496.64
2024-01-15,93.81,103.59,87.04,91.09,31693826.38
2024-01-22,91.08,99.44,79.0,95.98,38459406.73
2024-01-29,95.99,106.49,93.11,95.49,39119121.3
2024-02-05,95.48,110.86,92.88,107.46,31212550.99
2024-02-12,107.46,118.69,103.4,112.24,31533709.7
2024-02-19,112.25,114.87,98.48,103.47,25929924.24
2024-02-26,103.47,137.8,100.29,130.16,55567925.45
2024-03-04,130.16,152.64,105.0,144.39,61896661.8
2024-03-11,144.39,205.2,136.49,201.86,75751350.83
2024-03-18,201.85,210.18,162.45,183.88,62184219.07
2024-03-25,183.87,203.17,180.0,202.45,27951412.03
2024-04-01,202.45,204.46,167.84,179.52,29029091.81
2024-04-08,179.51,184.68,116.0,151.25,50222139.96
2024-04-15,151.26,156.06,126.4,148.8,56139826.46
2024-04-22,148.81,160.0,132.88,137.99,31501389.52
2024-04-29,137.99,149.14,118.47,145.73,33493938.936
2024-05-06,145.74,159.19,140.0,143.43,25283582.061
2024-05-13,143.42,176.06,137.78,169.93,26551895.174
2024-05-20,169.93,188.89,161.0,163.41,30147392.585
2024-05-27,163.42,173.93,161.32,163.15,18626126.041
2024-06-03,163.14,175.6,152.92,162.12,15953072.111
2024-06-10,162.12,163.18,157.46,160.71,1388734.944
